,id,sex,generation
353,353,F,35
354,354,F,35
355,355,F,35
356,356,F,35
357,357,F,35
358,358,F,35
359,359,F,35
362,362,F,35
363,363,F,35
365,365,F,35
242,242,M,35
260,260,M,35
277,277,M,35
315,315,F,35
266,266,M,35
311,311,F,35
361,361,F,35
364,364,F,35
