id,Liver_GSH,Liver_GSSG,Liver_Total_GSH,Liver_GSH_GSSG_Ratio,Liver_Redox_Potential_GSSG_2GSH,Liver_NADH,Liver_NADP,Liver_NADPH,Liver_NADP_NADPH_Ratio,sex,generation
195,34.508,0.525,35.559,65.682,-191.348,3.163,1.867,0.249,7.489,F,32
196,65.85,0.525,66.9,125.492,-208.764,3.151,0.886,0.166,5.354,F,32
197,43.049,0.546,44.14,78.871,-196.789,3.362,0.661,0.074,8.925,F,32
198,53.834,0.808,55.449,66.641,-197.531,5.082,0.59,0.241,2.449,F,32
199,50.428,0.606,51.641,83.156,-199.631,3.61,0.457,0.138,3.309,F,32
200,54.852,0.745,56.342,73.668,-199.133,4.112,0.857,0.206,4.151,F,32
201,35.503,0.268,36.04,132.278,-201.156,7.572,0.982,0.213,4.62,F,32
202,60.38,0.794,61.968,76.028,-200.85,6.247,0.632,0.141,4.479,F,32
203,36.232,0.348,36.928,104.078,-198.202,4.983,0.982,0.089,10.998,F,32
204,55.042,1.341,57.724,41.043,-191.304,3.056,0.725,0.145,5.006,F,32
